,0
0,3.239432040782982
1,3.239432040782982
2,3.239432040782982
3,3.239432040782982
4,3.239432040782982
5,3.239432040782982
6,3.239432040782982
7,3.239432040782982
8,3.239432040782982
9,3.1768316428702845
10,3.1768316428702845
11,3.1768316428702845
12,3.1768316428702845
13,3.1768316428702845
14,2.9734415692555194
15,2.9734415692555194
16,2.9734415692555194
17,2.9734415692555194
18,2.9734415692555194
19,2.9734415692555194
20,2.9734415692555194
21,2.9734415692555194
22,2.9734415692555194
23,2.9734415692555194
24,2.9701002518258615
25,2.9701002518258615
26,2.9701002518258615
27,2.9701002518258615
28,2.9701002518258615
29,2.9701002518258615
30,2.9701002518258615
31,2.9701002518258615
32,2.9701002518258615
33,2.9701002518258615
34,2.9701002518258615
35,2.9701002518258615
36,2.9701002518258615
37,2.9701002518258615
38,2.9701002518258615
39,2.9701002518258615
40,2.9701002518258615
41,2.9701002518258615
42,2.9701002518258615
43,2.9701002518258615
44,2.9701002518258615
45,2.9701002518258615
46,2.9701002518258615
47,2.9701002518258615
48,2.9701002518258615
49,2.9701002518258615
50,2.9701002518258615
51,2.9701002518258615
52,2.9701002518258615
53,2.9701002518258615
54,2.9701002518258615
55,2.9701002518258615
56,2.9701002518258615
57,2.9701002518258615
58,2.9701002518258615
59,2.9701002518258615
60,2.9701002518258615
61,2.9701002518258615
62,2.9701002518258615
63,2.9701002518258615
64,2.9701002518258615
65,2.9701002518258615
66,2.9701002518258615
67,2.9701002518258615
68,2.9701002518258615
69,2.9701002518258615
70,2.9701002518258615
71,2.9701002518258615
72,2.9701002518258615
73,2.9701002518258615
74,2.9701002518258615
75,2.9701002518258615
76,2.9701002518258615
77,2.9701002518258615
78,2.9701002518258615
79,2.967681053076883
80,2.967681053076883
81,2.967681053076883
82,2.967681053076883
83,2.967681053076883
84,2.967681053076883
85,2.967681053076883
86,2.967681053076883
87,2.967681053076883
88,2.967681053076883
89,2.967681053076883
90,2.967681053076883
91,2.967681053076883
92,2.967681053076883
93,2.967681053076883
94,2.967681053076883
95,2.967681053076883
96,2.967681053076883
97,2.967681053076883
98,2.967681053076883
99,2.967681053076883
100,2.967681053076883
101,2.967681053076883
102,2.967681053076883
103,2.967681053076883
104,2.967681053076883
105,2.967681053076883
106,2.967681053076883
107,2.967681053076883
108,2.967681053076883
109,2.967681053076883
110,2.967681053076883
111,2.967681053076883
112,2.967681053076883
113,2.967681053076883
114,2.967681053076883
115,2.967681053076883
116,2.9582913903982653
117,2.9582913903982653
118,2.9582913903982653
119,2.9582913903982653
120,2.9582913903982653
121,2.9582913903982653
122,2.9582913903982653
123,2.9582913903982653
124,2.9582913903982653
125,2.9582913903982653
126,2.9582913903982653
127,2.9582913903982653
128,2.9582913903982653
129,2.9582913903982653
130,2.9493027535537895
131,2.9493027535537895
132,2.9493027535537895
